originals	tokenized	transliterated
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkaraha(q)	è k a r a h a ( q )	E k a r a h a ( ' )
èkarieorie	è k a r ie o r ie	E k a r i o r i
èkadieofè	è k a d ie o f è	E k a d i o f E
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
(è)kaèq	( è ) k a è q	( E ) k a E '
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkaie(oe)lahoe(hoe); èkaèdaho; èkaèlaho	è k a ie ( oe ) l a h oe ( h oe ) ; # è k a è d a h o ; # è k a è l a h o	E k a i ( u ) l a h u ( h u ) ; # E k a E d a h o ; # E k a E l a h o
èkajoqfèdjie	è k a j o q f è dj ie	E k a j o ' f E j i
èkakorèie(j)ĕ	è k a k o r è ie ( j ) ĕ	E k a k o r E i ( j ) ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èk(a)oeqfanoe	è k ( a ) oe q f a n oe	E k ( a ) u ' f a n u
èkaoe(w)ĕ	è k a oe ( w ) ĕ	E k a u ( w ) ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkĕlèpè; èkalèpè	è k ĕ l è p è ; # è k a l è p è	E k ė l E p E ; # E k a l E p E
NA	NA	NA
èkaliehĕ	è k a l ie h ĕ	E k a l i h ė
èkaliehĕ oe(w)afĕ	è k a l ie h ĕ # oe ( w ) a f ĕ	E k a l i h ė # u ( w ) a f ė
NA	NA	NA
NA	NA	NA
èkèèfa	è k è è f a	E k E E f a
kieèèfa	k ie è è f a	k i E E f a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkieafĕ	è k ie a f ĕ	E k i a f ė
èkietapè(j)a	è k ie t a p è ( j ) a	E k i t a p E ( j ) a
èkietiebèie(j)oq	è k ie t ie b è ie ( j ) o q	E k i t i b E i ( j ) o '
èkietaie; èkiedaie	è k ie t a ie ; # è k ie d a ie	E k i t a i ; # E k i d a i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkèhèö(j)a	è k è h è ö ( j ) a	E k E h E u̇ ( j ) a
NA	NA	NA
NA	NA	NA
èkieie(j)ĕ	è k ie ie ( j ) ĕ	E k i i ( j ) ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkorie(j)o	è k o r ie ( j ) o	E k o r i ( j ) o
èkoedaäjo	è k oe d a ä j o	E k u d a ' a j o
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkoha	è k o h a	E k o h a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkoepadĕ	è k oe p a d ĕ	E k u p a d ė
NA	NA	NA
NA	NA	NA
èkoe(w)ĕ	è k oe ( w ) ĕ	E k u ( w ) ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkoöq	è k o ö q	E k o ' o '
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èkoropie(j)oèoeloe	è k o r o p ie ( j ) oè oe l oe	E k o r o p i ( j ) u u l u
NA	NA	NA
èkoèèq	è k oè è q	E k u E '
èkoèèq	è k oè è q	E k u E '
NA	NA	NA
ie(j)akafieta	ie ( j ) a k a f ie t a	i ( j ) a k a f i t a
NA	NA	NA
oehoeqkoe(w)ĕ	oe h oe q k oe ( w ) ĕ	u h u ' k u ( w ) ė
NA	NA	NA
èkoèèq	è k oè è q	E k u E '
èlaäfoe(w)a	è l a ä f oe ( w ) a	E l a ' a f u ( w ) a
èlahaoe	è l a h a oe	E l a h a u
èmanè	è m a n è	E m a n E
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èloho	è l o h o	E l o h o
NA	NA	NA
èmanè	è m a n è	E m a n E
èmènahoe(w)a	è m è n a h oe ( w ) a	E m E n a h u ( w ) a
NA	NA	NA
èmèaö	è m è a ö	E m E a ' o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èmoöie(j)ĕ	è m o ö ie ( j ) ĕ	E m o ' o i ( j ) ė
NA	NA	NA
ènaè(na): oe(w)afĕ	è n a è ( n a ) : # oe ( w ) a f ĕ	E n a E ( n a ) : # u ( w ) a f ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
ènapĕ	è n a p ĕ	E n a p ė
ènafienafie	è n a f ie n a f ie	E n a f i n a f i
ènafienie	è n a f ie n ie	E n a f i n i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
ènoĕ	è n o ĕ	E n o ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èorie	è o r ie	E o r i
apieha èoriedie(j)ĕ	a p ie h a # è o r ie d ie ( j ) ĕ	a p i h a # E o r i d i ( j ) ė
èorieaäq	è o r ie a ä q	E o r i a ' a '
borieaäq	b o r ie a ä q	b o r i a ' a '
kahohoriaäq	k a h o h o r i a ä q	k a h o h o r i a ' a '
èoriöka	è o r i ö k a	E o r i ' o k a
NA	NA	NA
NA	NA	NA
NA	NA	NA
èoroe	è o r oe	E o r u
èorohèie	è o r o h è ie	E o r o h E i
èoebĕ	è oe b ĕ	E u b ė
èoebĕ: èkaèn	è oe b ĕ : # è k a è n	E u b ė : # E k a E n
èkiearoboe	è k ie a r o b oe	E k i a r o b u
èobo	è o b o	E o b o
NA	NA	NA
kèèèfĕ	k è è è f ĕ	k E E E f ė
NA	NA	NA
NA	NA	NA
èoeloe	è oe l oe	E u l u
èoeloe bèlo(w)a	è oe l oe # b è l o ( w ) a	E u l u # b E l o ( w ) a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èoekoeriepo	è oe k oe r ie p o	E u k u r i p o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èoemĕ	è oe m ĕ	E u m ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
èoeoe(w)afĕ	è oeoe ( w ) a f ĕ	E u ' u ( w ) a f ė
NA	NA	NA
èoefĕ	è oe f ĕ	E u f ė
èoepoeie(j)ĕ	è oe p oe ie ( j ) ĕ	E u p u i ( j ) ė
èoepoeqoe(w)ĕ	è oe p oe q oe ( w ) ĕ	E u p u ' u ( w ) ė
èoefoe(w)a	è oe f oe ( w ) a	E u f u ( w ) a
NA	NA	NA
èoe(w)aè; èè(w)aie; èè(w)aè	è oe ( w ) a è ; # è è ( w ) a ie ; # è è ( w ) a è	E u ( w ) a E ; # E E ( w ) a i ; # E E ( w ) a E
NA	NA	NA
èoe(w)afĕ; èè(w)apo; èèwafĕ	è oe ( w ) a f ĕ ; # è è ( w ) a p o ; # è è w a f ĕ	E u ( w ) a f ė ; # E E ( w ) a p o ; # E E w a f ė
NA	NA	NA
è(o)horaoekèèfa	è ( o ) h o r a oe k è è f a	E ( o ) h o r a u k E E f a
NA	NA	NA
èokahaĕ	è o k a h a ĕ	E o k a h a ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èokoehèoeloe	è o k oe h è oe l oe	E o k u h E u l u
NA	NA	NA
NA	NA	NA
èokofie	è o k o f ie	E o k o f i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èofoe	è o f oe	E o f u
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èfaèfa	è f a è f a	E f a E f a
NA	NA	NA
NA	NA	NA
èèlako	è è l a k o	E E l a k o
NA	NA	NA
èpahoahoäq	è p a h o a h o ä q	E p a h o a h o ' a '
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èfakoehè	è f a k oe h è	E f a k u h E
NA	NA	NA
èpak(a)(w)ĕ	è p a k ( a ) ( w ) ĕ	E p a k ( a ) ( w ) ė
èfalè; èparè	è f a l è ; # è p a r è	E f a l E ; # E p a r E
NA	NA	NA
èfanoe	è f a n oe	E f a n u
NA	NA	NA
èpanĕma; èfanĕma	è p a n ĕ m a ; # è f a n ĕ m a	E p a n ė m a ; # E f a n ė m a
NA	NA	NA
èfaofĕ	è f a o f ĕ	E f a o f ė
èfaoqöqaie	è f a o q ö q a ie	E f a o ' u̇ ' a i
NA	NA	NA
èfèa	è f è a	E f E a
NA	NA	NA
NA	NA	NA
NA	NA	NA
èpèdoe(w)a(ö); èfèlo(w)a(ö)	è p è d oe ( w ) a ( ö ) ; # è f è l o ( w ) a ( ö )	E p E d u ( w ) a ( ' o ) ; # E f E l o ( w ) a ( ' o )
èfèhè	è f è h è	E f E h E
NA	NA	NA
NA	NA	NA
NA	NA	NA
èpĕrhaoedie	è p ĕ r h a oe d ie	E p ė r h a u d i
NA	NA	NA
NA	NA	NA
èpieaoe(w)afĕ	è p ie a oe ( w ) a f ĕ	E p i a u ( w ) a f ė
NA	NA	NA
NA	NA	NA
èpiedjoeafĕ	è p ie dj oe a f ĕ	E p i j u a f ė
NA	NA	NA
èfie(j)ĕ	è f ie ( j ) ĕ	E f i ( j ) ė
èfie(j)ofie(j)ĕ	è f ie ( j ) o f ie ( j ) ĕ	E f i ( j ) o f i ( j ) ė
NA	NA	NA
NA	NA	NA
èfieniefie	è f ie n ie f ie	E f i n i f i
èfiefie	è f ie f ie	E f i f i
NA	NA	NA
epoeaoe	e p oe a oe	e p u a u
NA	NA	NA
èpoeroe	è p oe r oe	E p u r u
NA	NA	NA
NA	NA	NA
èfoekĕ	è f oe k ĕ	E f u k ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
èpoe(oe)qoe: oe(w)afĕ	è p oe ( oe ) q oe : # oe ( w ) a f ĕ	E p u ( u ) ' u : # u ( w ) a f ė
NA	NA	NA
èpoeroeroe(ie)	è p oe r oe r oe ( ie )	E p u r u r u ( i )
èpoeroeroe(ie): èoeloe	è p oe r oe r oe ( ie ) : # è oe l oe	E p u r u r u ( i ) : # E u l u
NA	NA	NA
èpoeroeroe(ie)	è p oe r oe r oe ( ie )	E p u r u r u ( i )
èpoeroeroe(ie): waniemaie	è p oe r oe r oe ( ie ) : # w a n ie m a ie	E p u r u r u ( i ) : # w a n i m a i
NA	NA	NA
oekèoq	oe k è o q	u k E o '
èpoe(ah)ha	è p oe ( a h ) h a	E p u ( a h ) h a
èfo(h)	è f o ( h )	E f o ( h )
NA	NA	NA
èfoko	è f o k o	E f o k o
èponanamie	è p o n a n a m ie	E p o n a n a m i
èpoe(oe)kaha	è p oe ( oe ) k a h a	E p u ( u ) k a h a
èpopoökie	è p o p o ö k ie	E p o p o ' o k i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
ietèbè	ie t è b è	i t E b E
èwakieföro	è w a k ie f ö r o	E w a k i f u̇ r o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
hèlapiehie	h è l a p ie h ie	h E l a p i h i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
hobaäoe(w)ĕ	h o b a ä oe ( w ) ĕ	h o b a ' a u ( w ) ė
NA	NA	NA
obèèaĕ	o b è è a ĕ	o b E E a ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
horiekie	h o r ie k ie	h o r i k i
NA	NA	NA
NA	NA	NA
hokoä	h o k o ä	h o k o ' a
NA	NA	NA
NA	NA	NA
