originals	tokenized	transliterated
èèodie	è è o d ie	ɛ ɛ o d i
èèodieoekoewo	è è o d ie oe k oe w o	ɛ ɛ o d i u k u w o
èèoq	è è o q	ɛ ɛ o ʔ
èèpè	è è p è	ɛ ɛ p ɛ
èèpo	è è p o	ɛ ɛ p o
èhabarie(j)a	è h a b a r ie ( j ) a	ɛ h a b a r i ( j ) a
èhado(q)	è h a d o ( q )	ɛ h a d o ( ʔ )
èhahadiediekie	è h a h a d ie d ie k ie	ɛ h a h a d i d i k i
èhaiepoe	è h a ie p oe	ɛ h a i p u
èhamo	è h a m o	ɛ h a m o
kiehahamo	k ie h a h a m o	k i ç a h a m o
èhamoa	è h a m o a	ɛ h a m o a
èhanoe(w)a	è h a n oe ( w ) a	ɛ h a n u ( w ) a
èhao	è h a o	ɛ h a o
èharobèao	è h a r o b è a o	ɛ h a r o b ɛ a o
èharoeq	è h a r oe q	ɛ h a r u ʔ
èhèapo	è h è a p o	ɛ h ɛ a p o
èhèboe	è h è b oe	ɛ h ɛ b u
èhèie(j)o	è h è ie ( j ) o	ɛ h ɛ i ( j ) o
èhèja	è h è j a	ɛ h ɛ j a
èhèkoe(q)	è h è k oe ( q )	ɛ h ɛ k u ( ʔ )
mahèkoe(q)	m a h è k oe ( q )	m a h ɛ k u ( ʔ )
èhèkoe(q)wa	è h è k oe ( q ) w a	ɛ h ɛ k u ( ʔ ) w a
èhèla	è h è l a	ɛ h ɛ l a
kèo hèla	k è o # h è l a	k ɛ o # h ɛ l a
èhèoe(w)a	è h è oe ( w ) a	ɛ h ɛ u ( w ) a
èhèoe(w)è	è h è oe ( w ) è	ɛ h ɛ u ( w ) ɛ
èhè(q)ie(j)oe	è h è ( q ) ie ( j ) oe	ɛ h ɛ ( ʔ ) i ( j ) u
èhèrie(j)a	è h è r ie ( j ) a	ɛ h ɛ r i ( j ) a
èhie(j)o	è h ie ( j ) o	ɛ h i ( j ) o
èhoa	è h o a	ɛ h o a
èhöadie	è h ö a d ie	ɛ h ɨ a d i
mahöadie	m a h ö a d ie	m a h ɨ a d i
èhoanie	è h o a n ie	ɛ h o a n i
èho(w)apo	è h o ( w ) a p o	ɛ h o ( w ) a p o
èhoboe	è h o b oe	ɛ h o b u
èhöda	è h ö d a	ɛ h ɨ d a
èhoekoe	è h oe k oe	ɛ h u k u
èhoe(w)a	è h oe ( w ) a	ɛ h u ( w ) a
èhoka	è h o k a	ɛ h o k a
èhokaie	è h o k a ie	ɛ h o k a i
èhoka(q)	è h o k a ( q )	ɛ h o k a ( ʔ )
èhokoe	è h o k oe	ɛ h o k u
èhopo	è h o p o	ɛ h o p o
èhoqä	è h o qä	ɛ h o ʔ a
èhora	è h o r a	ɛ h o r a
èhowaie	è h o w a ie	ɛ h o w a i
èie	è ie	ɛ i
èieboe	è ie b oe	ɛ i b u
èiedjie	è ie dj ie	ɛ i d͡ʒ i
aiedjie	a ie dj ie	a i d͡ʒ i
èieha	è ie h a	ɛ i ç a
èieie	è ie ie	ɛ i i
èieieoedoe	è ie ie oe d oe	ɛ i i u d u
èie(j)aoe	è ie ( j ) a oe	ɛ i ( j ) a u
èie(j)ĕ	è ie ( j ) ĕ	ɛ i ( j ) ə
èie(j)oba	è ie ( j ) o b a	ɛ i ( j ) o b a
èie(j)oedopo	è ie ( j ) oe d o p o	ɛ i ( j ) u d o p o
èie(j)oöboöie	è ie ( j ) o ö b o ö ie	ɛ i ( j ) o ʔ o b o ʔ o i
